1,1,2000,1,1,0,0,0,0,0,0,1,0,88.8726,0.88414,0.58477,3,1,8
1,2,2000,1,3,0,0,0,0,0,1,1,0,324.925,1.75657,0.607187,3,1,12
2,1,2000,1,3,0,0,0,0,1,1,1,0,3.60582,1.87801,0.482564,4,1,17
3,1,2000,1,1,0,0,0,0,1,1,2,0,2.79419,0.528695,1.27305,4,1,21
3,2,2000,1,1,0,0,0,0,1,1,2,1,44.6328,0.789993,1.0374,4,2,26
3,3,2000,1,3,0,0,0,0,1,2,2,1,3.61025,1.2341,0.653352,4,2,30
4,1,2000,1,1,0,0,0,0,1,2,3,1,3.08156,0.746577,0.694145,4,2,34
4,2,2000,1,3,0,0,0,0,1,3,3,1,2.79883,0.802889,0.386166,4,2,38
5,1,8000,1,3,0,0,1,0,1,3,3,1,6.30295,1.31339,0.862693,4,2,42
5,2,8000,1,3,0,0,1,1,1,3,3,1,7.31428,0.24193,2.39251,4,2,46
5,3,8000,1,3,0,0,1,2,1,3,3,1,7.37899,1.7983,0.637452,4,2,50
5,4,8000,1,1,0,1,1,2,1,3,3,1,5.8823,0.835113,0.824627,4,2,54
6,1,8000,1,1,1,1,1,2,1,3,3,1,6.45255,1.22338,0.73769,4,2,58
7,1,2000,1,1,1,1,1,2,1,3,4,1,31.5844,0.569538,0.43276,4,2,62
7,2,2000,1,1,1,1,1,2,1,3,4,2,1089.8,1.45325,0.756087,4,2,66
